"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-194279","Source2",3,2016-11-30 17:21:50,2016-11-30 18:06:29,42.64389,-73.750336,NA,NA,0.01,"Shoulder blocked on exit ramp due to accident on I-787 Northbound at Exits 3 3A 3B 4 US-9.","Dunn Memorial Brg","Albany","Albany","NY","12202","US","US/Eastern","KALB","2016-11-30 17:17:00",51.1,NA,89,29.79,10,"South",5.8,0,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"A-194285","Source2",3,2016-11-30 17:42:28,2016-11-30 18:27:10,42.667244,-73.733116,NA,NA,0.01,"Left lane blocked due to accident on I-787 Northbound at Exit 5 I-90.","I-787 N","Albany","Albany","NY","12204","US","US/Eastern","KALB","2016-11-30 17:47:00",51.8,NA,82,29.75,10,"SSE",11.5,0,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-194287","Source2",3,2016-11-30 17:58:43,2016-11-30 18:43:34,42.753929,-73.933632,NA,NA,0.01,"Accident on I-90 Westbound at Exit 25 I-890.","I-90 E","Schenectady","Albany","NY","12303","US","US/Eastern","KALB","2016-11-30 17:51:00",51.1,NA,86,29.76,10,"South",13.8,0,"Light Rain","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"A-194300","Source2",2,2016-11-30 19:03:00,2016-11-30 19:47:45,42.762939,-73.762451,NA,NA,0.01,"Right hand shoulder blocked due to accident on NY-7 Eastbound at I-87.","Adirondack Northway N","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-11-30 18:58:00",50,NA,89,29.76,10,"South",15,0,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194311","Source2",3,2016-11-30 20:14:46,2016-11-30 20:59:37,42.753929,-73.933632,NA,NA,0.01,"Accident on I-90 Westbound at Exit 25 I-890.","I-90 E","Schenectady","Albany","NY","12303","US","US/Eastern","KALB","2016-11-30 19:51:00",50,NA,89,29.75,10,"South",12.7,0,"Light Rain","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"A-194377","Source2",3,2016-12-01 07:45:09,2016-12-01 08:29:56,42.732628,-73.69812,NA,NA,0.01,"Right hand shoulder closed due to accident on I-787 Southbound at Exit 8 23rd St.","I-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-01 07:49:00",48.2,NA,87,29.55,10,"Variable",4.6,0.01,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194388","Source2",3,2016-12-01 07:49:40,2016-12-01 08:34:25,42.649979,-73.713722,NA,NA,0.01,"Right hand shoulder closed due to accident on I-90 Westbound at Exit 8 NY-43.","I-90 E","Rensselaer","Rensselaer","NY","12144","US","US/Eastern","KALB","2016-12-01 07:49:00",48.2,NA,87,29.55,10,"Variable",4.6,0.01,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194409","Source2",3,2016-12-01 08:25:13,2016-12-01 09:09:59,42.70504,-73.853745,NA,NA,0.01,"Accident on I-90 Eastbound at Exit 24 New York Trwy.","I-90 E","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-01 08:51:00",48.9,NA,71,29.58,10,"WNW",11.5,0,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194411","Source2",2,2016-12-01 08:26:30,2016-12-01 09:11:15,42.74025,-73.68866,NA,NA,0.01,"Right hand shoulder closed due to accident on NY-7 Collar City Brg Westbound at NY-7 Collar City Brg.","Collar City Brg","Troy","Albany","NY","12183","US","US/Eastern","KALB","2016-12-01 08:51:00",48.9,NA,71,29.58,10,"WNW",11.5,0,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194488","Source2",3,2016-12-01 15:26:59,2016-12-01 16:11:44,42.659935,-73.722084,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Eastbound at Exit 7 Washington Ave.","I-90 E","Rensselaer","Rensselaer","NY","12144","US","US/Eastern","KALB","2016-12-01 15:51:00",44.1,40.1,71,29.65,10,"West",6.9,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"A-194495","Source2",2,2016-12-01 16:38:30,2016-12-01 17:23:14,42.742554,-73.697472,NA,NA,0.01,"Right hand shoulder blocked due to accident on NY-7 Westbound after NY-787.","NY-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-01 16:51:00",44.1,38.6,63,29.67,10,"West",10.4,0,"Mostly Cloudy","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Day","Day","Day"
"A-194498","Source2",3,2016-12-01 16:53:58,2016-12-01 17:38:45,42.694115,-73.830246,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Westbound at Exit 2 Washington Avenue Ext.","I-90 W","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-01 16:51:00",44.1,38.6,63,29.67,10,"West",10.4,0,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"A-194501","Source2",3,2016-12-01 17:04:04,2016-12-01 17:48:49,42.753029,-73.76899,NA,NA,1.26,"Right hand shoulder blocked due to accident on I-87 Northbound between Exit 5 NY-155 Watervliet Shaker Rd and Exit 6 Troy Schenectady Rd.","Troy Schenectady Rd","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-01 16:51:00",44.1,38.6,63,29.67,10,"West",10.4,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Day","Day"
"A-194502","Source2",3,2016-12-01 17:03:11,2016-12-01 17:47:55,42.732628,-73.69812,NA,NA,0.01,"Center lane blocked due to accident on I-787 Northbound at Exit 8 23rd St.","I-787 N","Watervliet","Albany","NY","12189","US","US/Eastern","KALB","2016-12-01 16:51:00",44.1,38.6,63,29.67,10,"West",10.4,0,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"A-194503","Source2",3,2016-12-01 17:08:24,2016-12-01 17:53:07,42.753029,-73.76899,NA,NA,0.01,"Left lane blocked due to accident on I-87 Northbound at Exit 6 Troy Schenectady Rd.","Troy Schenectady Rd","Latham","Albany","NY","12110","US","US/Eastern","KALB","2016-12-01 16:51:00",44.1,38.6,63,29.67,10,"West",10.4,0,"Mostly Cloudy","False","False","True","False","False","False","False","False","False","False","False","True","False","Night","Night","Day","Day"
"A-194510","Source2",3,2016-12-01 17:47:38,2016-12-01 18:32:24,42.68681,-73.802849,NA,NA,0.01,"Right hand shoulder blocked due to accident on I-90 Eastbound at Exit 4 NY-85.","I-90 W","Albany","Albany","NY","12205","US","US/Eastern","KALB","2016-12-01 17:51:00",41,37.1,70,29.69,10,"West",5.8,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
